Divisional_Office,Zone_Office,Area_Office,Branch_Code,Branch_Name,Loanee,Member,Loan_Amount,Outstanding_Pr
OP Domain Bogra,Sirajganj Zone,Ullapara Region,142,Shahjadpur,200,200,"11,022,000.00","10,815,480.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,147,Daulatpur-1,125,125,"7,437,000.00","7,340,827.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,206,PANCHLIA,146,146,"9,590,000.00","9,509,918.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,233,ENAYETPUR,114,114,"7,420,000.00","7,319,273.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,275,KAMARKHANDA,126,126,"9,225,000.00","9,144,123.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,312,Bhadraghat,143,143,"9,600,000.00","9,529,428.00"
OP Domain Bogra,Sirajganj Zone,Ullapara Region,319,Talgachhi,81,81,"5,750,000.00","5,714,271.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,354,Tarash,133,133,"9,890,000.00","9,806,931.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,388,Sirajganj-2,98,98,"7,565,000.00","7,484,469.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,616,Hatpangashi,98,98,"5,995,000.00","5,973,321.00"
OP Domain Bogra,Sirajganj Zone,Ullapara Region,617,Baghabari,91,91,"4,955,000.00","4,862,473.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,632,Sirajganj-3,142,142,"10,595,000.00","10,503,411.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,633,Dhangara,69,69,"5,125,000.00","5,083,143.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,906,Kamarkanda Branch,71,71,"5,905,000.00","5,880,223.00"
OP Domain Bogra,Sirajganj Zone,Ullapara Region,926,Shahjadpur Branch,82,82,"6,260,000.00","6,205,690.00"
OP Domain Bogra,Sirajganj Zone,Ullapara Region,927,Ullapara Branch,59,59,"4,090,000.00","4,048,230.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,936,Sirajgonj Branch,82,82,"6,045,000.00","5,996,531.00"
OP Domain Bogra,Sirajganj Zone,Nimgachi Region,937,Nimgachi Branch,74,74,"4,925,000.00","4,879,535.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,946,Hatikumrul Branch,48,48,"4,110,000.00","4,082,523.00"
OP Domain Bogra,Sirajganj Zone,Nimgachi Region,952,Bhuiyagati Branch,57,57,"3,800,000.00","3,782,855.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,107,Chittagong,98,98,"8,270,000.00","8,231,396.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,164,Faujdarhat,84,84,"7,260,000.00","7,244,077.00"
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,175,Mirsarai,95,93,"8,580,000.00","8,543,270.00"
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,397,Baryearhat,115,113,"11,235,000.00","11,197,993.00"
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,398,Sitakunda,97,97,"7,360,000.00","7,313,375.00"
OP Domain Chittagaon,Chittagong North Zone,Sandwip Region,399,Kumira,118,118,"7,405,000.00","7,377,567.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,403,Kotwali,146,146,"14,328,000.00","14,266,164.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,404,Halishahar,140,140,"12,630,000.00","12,599,469.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,485,Pahartali,91,91,"8,090,000.00","8,083,369.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,490,Katgor,127,127,"10,040,000.00","10,017,876.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,496,Patharghata,149,149,"10,600,000.00","10,528,985.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,513,Chawkbazar,133,133,"11,655,000.00","11,604,891.00"
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,658,Borodarogahat,118,110,"9,640,000.00","9,601,078.00"
OP Domain Chittagaon,Chittagong North Zone,Sandwip Region,793,Enamnahar,122,120,"12,740,000.00","12,724,857.00"
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,873,Abu torab,41,41,"4,100,000.00","4,089,160.00"
OP Domain Chittagaon,Chittagong North Zone,Sandwip Region,883,Shiber Hat,58,58,"7,050,000.00","7,049,558.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,978,Banglabazar-3,117,117,"8,650,000.00","8,600,185.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,984,Boropool,80,80,"9,380,000.00","9,325,266.00"
OP Domain Chittagaon,Chittagong North Zone,Sandwip Region,985,Sandwip,84,84,"10,070,000.00","10,061,831.00"
OP Domain Chittagaon,Chittagong North Zone,Kotwali Region,986,Khulshi,89,89,"8,235,000.00","8,217,092.00"
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,987,Bandar Tila,126,126,"9,270,000.00","9,270,000.00"
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,165,Ranirhat,105,105,"9,585,000.00","9,540,424.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,357,Nowapara-2,96,96,"11,360,000.00","11,346,063.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,396,Baluchara,166,166,"12,400,000.00","12,366,570.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,400,Bakalia,146,146,"11,666,000.00","11,583,258.00"
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,486,Raozan,100,100,"11,601,000.00","11,575,892.00"
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,487,Nazirhat,100,100,"12,160,000.00","12,143,962.00"
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,488,Fatikchari,78,78,"8,125,000.00","8,094,179.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,492,Hat Hazari,91,91,"10,200,000.00","10,180,976.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,495,Chandgaon,171,171,"12,040,000.00","12,005,709.00"
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,506,Azadi Bazar,96,96,"11,660,000.00","11,637,254.00"
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,507,Chandraghona,136,136,"12,880,000.00","12,852,236.00"
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,509,Rangunia,80,80,"10,050,000.00","10,036,289.00"
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,604,Oxygen,112,112,"9,350,000.00","9,321,683.00"
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,828,Shilok,85,85,"9,990,000.00","9,968,098.00"
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,848,Kazirhat-2,45,45,"4,105,000.00","4,094,824.00"
OP Domain Chittagaon,Feni Zone,Feni Region,110,Feni-1,134,134,"12,065,000.00","12,005,268.00"
OP Domain Chittagaon,Feni Zone,Feni Region,309,Sagolnaiya,88,86,"9,280,000.00","9,223,601.00"
OP Domain Chittagaon,Feni Zone,Gunoboti Region,316,Gunabati,102,99,"14,955,000.00","14,936,860.00"
OP Domain Chittagaon,Feni Zone,Feni Region,318,Fulgazi,70,63,"7,217,000.00","7,200,154.00"
OP Domain Chittagaon,Feni Zone,Feni Region,320,Parsuram,71,71,"7,838,000.00","7,812,527.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,332,Dagonbhuya,46,44,"6,285,000.00","6,262,896.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,408,Selonia,87,86,"9,855,000.00","9,806,666.00"
OP Domain Chittagaon,Feni Zone,Feni Region,498,Mohipal,57,57,"6,435,000.00","6,428,363.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,533,Bosurhat,73,73,"9,630,000.00","9,620,708.00"
OP Domain Chittagaon,Feni Zone,Gunoboti Region,576,Rajapur-2,77,76,"7,825,000.00","7,807,945.00"
OP Domain Chittagaon,Feni Zone,Feni Region,578,Laskarhat,72,72,"8,910,000.00","8,898,942.00"
OP Domain Chittagaon,Feni Zone,Feni Region,588,Feni-2,115,112,"9,255,000.00","9,205,809.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,628,Sonagazi,53,52,"7,165,000.00","7,150,863.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,654,Kobirhat,61,61,"7,150,000.00","7,143,260.00"
OP Domain Chittagaon,Feni Zone,Gunoboti Region,694,Boxgonj,80,73,"8,920,000.00","8,916,793.00"
OP Domain Chittagaon,Feni Zone,Gunoboti Region,863,Nangalkot,42,42,"5,860,000.00","5,842,964.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,877,Chaprashirhat,41,41,"4,555,000.00","4,543,275.00"
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,884,Olamabazar,31,31,"4,300,000.00","4,287,390.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,119,Noakhali,73,73,"7,735,000.00","7,698,720.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,163,Begumganj,92,92,"11,628,000.00","11,575,022.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,218,Shenbag,83,80,"9,670,000.00","9,628,247.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,220,Chandraganj,82,82,"11,288,000.00","11,266,872.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,221,Chatkhil,87,87,"10,760,000.00","10,757,788.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,407,Sonaimori,85,85,"10,880,000.00","10,874,691.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,480,Chowmuhani-1,66,66,"9,298,000.00","9,263,612.00"
