Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Akkelpur,30,98,92,192,190,6917462,6746330,24159,171132,5935650,533,4696177,6696335,6696335,224092000,210677268
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Gobindogonj-1,31,113,79,200,174,10701432,10273263,20992,428169,7802374,816,5300813,9741431,9741431,285198000,267092687
OP Domain Bogra,Bogra South Zone,Gohail Region,Gohail,32,75,83,147,148,6797501,6488194,65564,309307,7127096,881,4315281,8540390,8540390,225914000,220871303
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Joypurhat-1,33,102,100,193,184,8157538,7534990,86727,622548,9085125,944,4420701,10816757,10816757,289323000,292712701
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Dosmail-1,34,64,85,120,142,6905386,6562903,35341,342483,6827206,666,4119504,8032580,8032580,200239000,197083100
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Jamalganj-1,35,105,97,182,167,8579472,8341086,48571,238386,6614162,628,4769950,7556549,7556549,244718000,238114259
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Altafnagor,36,87,78,187,173,11646772,10996152,159424,650620,13266581,964,8306376,16068509,16068509,327487000,302470799
OP Domain Rangpur,Polashbari Zone,Ghoraghat Region,Ghoraghat,37,74,55,144,121,7609653,7188033,73024,421620,12150437,1181,8506419,13807270,13807270,205732000,197838342
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Durgapur-1,38,72,59,132,113,7717419,7335785,96698,381633,8449119,802,5055684,10392692,10392692,242431000,233754645
OP Domain Bogra,Bogra South Zone,Gohail Region,Maloncha,39,93,84,175,165,8875689,8454550,77247,421139,9429812,857,6048251,11111284,11111284,289869000,292861937
OP Domain Bogra,Bogra North Zone,Sibganj Region,Pirob,40,96,99,195,193,10358298,10084884,104660,273414,6071861,641,3297727,7270519,7270519,323715000,305521660
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,Nimgachhi,41,56,51,97,102,5898283,5451920,36032,446363,12527544,1058,8804201,14113215,14113215,178611000,181622899
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Chandaikona,42,72,68,110,112,7963824,6942420,274537,1021404,36439153,2139,16233817,40281914,40281914,278776000,260420193
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Dhaka,43,116,119,152,151,12025913,10857360,23316,1168553,18124373,1678,10927204,22903721,22903721,318065000,301023236
OP Domain Rajshahi,Naogaon Zone,Naogaon Region,Naogaon-1,44,96,83,157,136,8966314,8434034,89987,532280,17583065,1787,12554443,19556637,19556637,246955000,240070618
OP Domain Natore,Natore Zone,Natore Region,Dighapatia,45,79,63,141,138,8043293,7824276,86303,219017,12026166,1007,9156512,13197582,13197582,228659000,213675768
OP Domain Natore,Natore Zone,Walia Region,Hoybatpur,46,59,56,105,99,7123710,6842580,75321,281130,8941239,749,6978259,10180532,10180532,211598000,200477714
OP Domain Bogra,Bogra Central Zone,Central Region,Godarpara,47,68,58,148,141,9146001,8851427,85194,294574,7451459,386,5374261,8926522,8926522,337016000,397615870
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Sonka,48,94,76,160,149,9325929,8704850,114258,621079,16140367,1132,10038745,18402824,18402824,281065000,266370715
OP Domain Bogra,Bogra South Zone,Gohail Region,Ronbagha,49,72,59,140,136,7609368,6751801,171173,857567,15920320,1672,5640951,18505866,18505866,252658000,252454611
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Rajshahi-1,50,106,104,235,247,11415385,11159119,80598,256267,6708391,677,4651020,8363184,8363184,334100000,326713105
OP Domain Rajshahi,Naogaon Zone,Hapania Region,Hapania,51,107,87,191,175,8998617,8530496,85881,468121,9637338,851,5818449,12129258,12129258,268881000,249857857
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Badalgachi,52,74,63,147,145,6393779,6210599,110219,183180,6361831,718,3971378,7510906,7510906,204740000,203273241
OP Domain Rajshahi,Naogaon Zone,Naogaon Region,Tilokpur,53,80,67,135,128,6395979,6170291,62679,225688,6419004,682,4412530,7410343,7410343,178926000,172310802
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Abadpukur,54,113,70,196,159,9017626,8745440,73899,272186,11674930,1140,8962292,12631374,12631374,255830000,241921568
OP Domain Natore,Natore Zone,Natore Region,Kafuria,55,102,94,186,174,10089100,9607635,72411,481465,11649277,1106,8004296,14114450,14114450,273638000,253879281
OP Domain Natore,Natore Zone,Najirpur Region,Singra-1,56,85,78,142,130,8670054,8399651,66871,270403,5846001,576,3624443,7472069,7472069,247334000,231516141
OP Domain Rajshahi,Naogaon Zone,Hapania Region,Bolihar,57,85,63,126,106,6907376,6642327,94744,265049,6545805,523,4395579,8893893,8893893,280662000,298623485
OP Domain Rajshahi,Najipur Zone,Najipur Region,Mohadevpur,58,124,113,255,242,9109842,8797985,87091,311857,13739218,1204,9285379,14491567,14491567,318593000,320366229
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Mongolbary,59,100,94,200,196,7683673,7441462,113893,242211,11580900,1074,8743715,12375774,12375774,249620000,244693291
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,Hakimpur,60,74,96,179,179,8908807,8391871,121533,516936,13481258,1174,7244162,15504008,15504008,333130000,323445900
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,Birampur,61,42,48,130,140,7610758,7220800,57916,389958,6083379,498,3129410,7652369,7652369,239492000,228471627
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Polashbari,62,72,27,123,88,6211749,6009519,13166,202230,10448851,1077,8634322,11154824,11154824,160689000,153798808
OP Domain Rangpur,Rangpur Zone,Modern Region,MODERN,63,99,91,215,192,12353393,11649049,67194,704344,16741229,1693,11054931,19255217,19255217,327547000,314383189
OP Domain Rajshahi,Rajshahi Zone,Coart Region,NAWHATA-1,64,122,111,185,194,7850366,7314769,104946,535598,6721928,761,3973304,9248260,9248260,238984000,233014299
OP Domain Rajshahi,Rajshahi Zone,Coart Region,NAWHATA-2,65,75,44,105,84,5469590,5009590,99212,460000,7851088,736,5447284,9687209,9687209,160262000,153201883
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Paglapir,66,79,75,139,131,7421162,7133595,48610,287567,12099928,1172,9370837,13458003,13458003,201508000,202644072
OP Domain Natore,Puthia Zone,Puthia Region,Puthia,67,64,57,135,125,6563526,6407627,25922,155899,4815537,421,3384502,5776167,5776167,183557000,169672030
OP Domain Natore,Puthia Zone,Taherpur Region,Bhabaniganj-2,68,99,86,126,117,8959174,8726195,67241,232979,5540850,497,3790253,6636949,6636949,242793000,215679076
OP Domain Natore,Chatmohor Zone,Bonpara Region,Rajapur-1,69,52,43,65,59,5046364,4810749,47547,235615,6932575,612,4502996,8112112,8112112,163662000,188144483
OP Domain Natore,Chatmohor Zone,Bonpara Region,Bonpara-1,70,76,63,115,111,6326463,6094062,92688,232402,11908558,1022,9127175,13090482,13090482,189677000,186987734
OP Domain Natore,Puthia Zone,Charghat Region,Charghat-1,71,139,119,235,219,10691860,10322533,89280,369328,8226926,688,5394993,9957282,9957282,295692000,271293115
OP Domain Natore,Puthia Zone,Charghat Region,Charghat-2,72,90,80,165,154,7486514,7275062,58765,211452,3812779,386,2337540,5447355,5447355,209083000,189902941
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,Panchbibi,73,89,89,223,219,10177842,9485442,153626,692400,15845232,1306,9154826,17818718,17818718,362049000,349201394
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Shadullahpur,74,76,66,161,156,10596556,10113855,41204,482701,5439959,675,2751085,7614216,7614216,273468000,247822004
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,Fulbari-1,75,81,66,161,133,7594994,7049192,70483,545803,9798826,851,5140036,12157981,12157981,275273000,287648888
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,MOHONPUR,76,107,69,133,113,6014463,5336040,75143,678423,7594379,684,2158283,10974610,10974610,286183000,327188328
OP Domain Natore,Puthia Zone,Charghat Region,Baneswar,77,90,70,175,165,9963424,9448036,102252,515387,12468713,1129,8288635,14623996,14623996,260922000,234488335
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,MITHAPUKUR,78,72,56,150,134,7702447,7317106,93043,385340,10946265,1248,8081712,12576465,12576465,222921000,217538736
OP Domain Natore,Puthia Zone,Charghat Region,Bagha-1,79,62,60,119,112,7374516,7117761,80073,256755,8413888,748,6046125,9482674,9482674,201386000,192021564
OP Domain Natore,Puthia Zone,Charghat Region,Bagha-2,80,77,71,159,158,8311232,8027979,116564,283252,6222128,528,3901310,7655080,7655080,235361000,214476766
OP Domain Rajshahi,Naogaon Zone,Naogaon Region,Kazirmor,81,112,74,189,157,9245402,8869586,134791,375815,14167410,1319,9727674,15900289,15900289,250445000,242947961
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,Bhaduriya,82,68,66,136,122,6459349,6077019,120650,382330,11498161,867,5851340,12562569,12562569,344402000,365268277
OP Domain Natore,Natore Zone,Walia Region,Laxmikole,83,71,60,100,85,5959902,5583641,14423,376261,6799165,562,4157588,8715608,8715608,162903000,152399917
OP Domain Natore,Natore Zone,Walia Region,Bagatipara,84,61,58,100,96,6473763,6178342,63102,295420,9902912,652,7043132,11492517,11492517,188589000,177492331
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Ambari-1,85,59,50,131,127,6548809,6168701,45250,380108,5634728,495,3202889,7218799,7218799,259851000,285776230
OP Domain Natore,Puthia Zone,Puthia Region,Arani,86,89,75,196,176,8201030,7987921,63734,213109,5957615,602,3228458,6925548,6925548,256982000,237254839
OP Domain Natore,Natore Zone,Walia Region,Lalpur,87,70,64,142,138,6667833,6456489,36532,211344,7781382,654,6162094,8738052,8738052,211571000,202626545
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Parbatipur,88,109,125,200,194,10825537,10154152,59413,671385,10372172,842,5428424,13029982,13029982,305858000,294119809
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Durgapur-3,89,112,92,226,187,9679894,9342796,61880,337098,6749201,668,4292024,7984479,7984479,257920000,243271328
OP Domain Natore,Puthia Zone,Puthia Region,Durgapur-2,90,68,62,133,125,8136470,7678975,118093,457495,13264167,1029,9792301,15722212,15722212,222714000,211310726
OP Domain Natore,Puthia Zone,Taherpur Region,Taherpur-1,91,65,65,110,102,6570172,6235651,30680,334521,4499676,418,2591232,5970185,5970185,180541000,170385878
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Bonarpara,92,73,66,174,154,8901019,8653351,153695,247669,11021810,1054,7791099,12336193,12336193,252692000,245857000
OP Domain Rangpur,Polashbari Zone,Ghoraghat Region,Rajabirat,93,49,28,135,111,5484646,5305619,46529,179027,3620807,366,2251430,4484596,4484596,245703000,270433858
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Shibpur-1,94,126,106,240,229,9973735,9766979,76151,206755,4231347,517,2446193,5247625,5247625,317004000,309189730
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,KATAKHALI-1,95,138,124,218,212,10344457,9906630,110154,437827,9782972,884,5888742,11126225,11126225,285831000,275095802
OP Domain Rajshahi,Najipur Zone,Najipur Region,Modhuil,96,97,80,303,287,10182628,9854332,208959,328296,6620313,693,3771592,7060821,7060821,423284000,401390351
OP Domain Rajshahi,Naogaon Zone,Manda Region,Manda-1,97,147,122,231,201,9133981,8603435,95093,530545,20999152,1866,8589092,22567010,22567010,330524000,329171728
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Niamatpur,98,105,86,210,194,9154722,8858013,51924,296709,5737756,592,3015646,7207753,7207753,326294000,359259246
OP Domain Natore,Natore Zone,Najirpur Region,Gurudaspur,99,75,65,114,112,6549991,6282880,27500,267111,8573202,751,6652307,9738580,9738580,192729000,185432916
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Chowbaria,100,82,60,170,149,7200312,6993730,86086,206582,4276402,464,2020786,5272808,5272808,344951000,367940329
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Rajshahi court,101,108,108,195,203,11490045,10922410,168257,567635,9601517,769,5460236,11704227,11704227,319872000,299847278
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Damkurahat,102,90,80,142,147,6166613,5787934,53856,378678,7896863,803,5158139,9465258,9465258,176475000,170308302
OP Domain Rajshahi,Najipur Zone,Najipur Region,Nazipur,103,59,43,183,181,7019693,6692963,46829,326730,8851271,724,5116446,9472971,9472971,245376000,238647991
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Shibganj-2,104,103,82,159,151,6981474,6881457,34786,100017,4402310,388,3295607,4748224,4748224,204515000,196368340
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Chapainawabganj,105,87,71,138,128,6156622,6025517,35503,131105,3706907,329,2834864,4179184,4179184,221243000,249940941
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Ranihati,106,84,56,87,86,4547214,4460882,31938,86332,4415639,544,3647995,4813700,4813700,121694000,116455163
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Chittagong,107,48,59,82,86,6703515,6080310,56499,623205,8757264,774,2991718,11699867,11699867,236891000,264560085
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Kanshat,108,133,95,222,215,10162605,10080958,86751,81647,5120071,399,3759497,5653090,5653090,272994000,254576879
OP Domain Comilla,Laxmipur Zone,Raypur Region,Raypur,109,44,34,107,93,10168605,9896338,34040,272267,7619309,394,3505194,8645627,8645627,300676000,292858724
OP Domain Chittagaon,Feni Zone,Feni Region,Feni-1,110,68,61,117,109,11939705,11053229,180797,886477,13295574,1261,6944665,18800168,18800168,326157000,310786085
OP Domain Natore,Puthia Zone,Taherpur Region,Naldanga-1,111,84,68,154,141,8424263,8266587,59680,157675,5624018,430,4171675,6303856,6303856,292533000,307242381
OP Domain Rajshahi,Najipur Zone,Najipur Region,Dhamurhat,112,101,92,276,267,9337136,8970554,15593,366582,5605215,420,2407293,5954126,5954126,408952000,390131061
OP Domain Rajshahi,Naogaon Zone,Manda Region,Panjarbhanga,113,90,74,161,143,6245945,5949046,43114,296899,5982606,571,3508905,7231707,7231707,190116000,184238981
OP Domain Natore,Puthia Zone,Taherpur Region,Bhabaniganj-1,114,101,101,178,162,9172668,8757170,136063,415499,11539229,985,8417175,13573058,13573058,259414000,246433443
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Raninagor,115,91,75,178,163,8108158,7727886,84893,380272,11169269,1069,8488926,12441601,12441601,218868000,212132844
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Jalkar-1,116,77,61,166,152,9112567,8658233,29851,454335,13340899,1316,9474742,14843623,14843623,244991000,234418104
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,Shirotti,117,76,77,205,197,9123905,8500643,113779,623263,9710570,931,3538919,12255568,12255568,331224000,314115862
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Atrai,118,80,68,137,130,7581537,7394687,40791,186850,4460314,405,2891530,5384868,5384868,273136000,313152025
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Noakhali,119,44,38,80,69,6298620,5842401,31894,456219,5926585,560,1911942,7879375,7879375,174993000,162977119
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Nilphamari,120,79,71,145,128,7038000,6918785,58184,119215,6482818,626,4749403,6866159,6866159,250420000,288045142
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-1,121,71,57,124,116,6207569,6038577,51425,168992,9798822,1127,7760050,10428239,10428239,193136000,215986871
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Lalmonirhat,122,117,84,237,200,11071621,10696527,77852,375093,8758073,965,5529352,10251171,10251171,287818000,260921678
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Gaibandha-1,123,83,54,185,162,10925024,10399634,29197,525391,13404988,1043,8662844,15398772,15398772,284680000,267180015
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Gazipur-1,124,59,37,126,106,9305926,9232927,21982,72999,4161545,460,3705664,4892308,4892308,229997000,204497109
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Godagari,125,86,62,147,134,5980841,5912380,25559,68461,3019526,385,2273044,3208451,3208451,178260000,172781830
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Dhormopur,126,83,72,191,183,13364715,12837728,52508,526987,9229555,880,5374326,11350796,11350796,370567000,347500329
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Dinajpur-1,127,84,80,200,192,11455537,11132561,62388,322976,7348809,652,3926387,8325162,8325162,328044000,311922339
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Birganj,128,100,83,219,204,10185926,9727530,72324,458397,12240654,1414,8494678,14251830,14251830,280729000,266010972
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Shikdarhat,129,83,83,177,166,9099443,8760528,63520,338915,11535689,1035,8471861,12776447,12776447,242320000,232858739
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Kurigram-1,130,105,75,209,171,11981083,11185578,180895,795505,20492510,1982,14177082,23595461,23595461,314768000,287248762
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Khanjanpur,131,101,92,242,236,10144532,9548473,53790,596059,8544647,945,5135186,10452400,10452400,287514000,279878751
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,Salanga,132,82,81,177,173,10295087,9698272,92051,596815,12931796,1066,8588714,15676963,15676963,310542000,303415981
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Sirajganj-1,133,87,88,167,170,9427835,9005509,96628,422326,9137466,936,5554579,10994343,10994343,267521000,262226716
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Thakurgaon-1,134,110,98,194,195,10114404,9420191,92636,694213,11912419,1132,6808096,14367766,14367766,292595000,285067700
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Porsha,135,143,114,295,292,10384868,10241570,27926,143297,1908345,206,944529,2433527,2433527,336025000,319094741
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Bagbati,136,72,68,138,128,6882139,6595036,61908,287104,7887381,752,4464557,9087798,9087798,197129000,180766802
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Khorkhori,137,148,143,237,248,10859276,10579463,90101,279813,5945509,494,3878441,7070518,7070518,328673000,317523724
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,BELKUCHI,138,88,78,138,130,8966609,8734400,37312,232209,6246565,716,3884141,7211155,7211155,244584000,233308384
OP Domain Natore,Chatmohor Zone,Bera Region,Bera-1,139,66,60,136,128,7526294,7233224,82630,293069,7676515,667,4995997,8825605,8825605,209049000,195225241
OP Domain Natore,Chatmohor Zone,Bera Region,Shanthia,140,64,48,123,118,6272988,6100890,67521,172098,9984229,928,8318402,10705449,10705449,168915000,161512356
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Ullahpara,141,120,121,189,187,8708414,8323551,117109,384863,12768322,1336,9088616,14109225,14109225,244423000,240904888
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Shahjadpur,142,89,89,174,169,8819255,8501462,49247,317793,12591004,1353,9253369,13966654,13966654,242276000,228499219
OP Domain Natore,Chatmohor Zone,Bhangura Region,BHANGURA,143,83,81,145,152,8334485,7930976,46286,403510,7472308,674,4621254,9534324,9534324,228593000,214277442
OP Domain Natore,Chatmohor Zone,Bhangura Region,Chatmohor,144,79,82,134,134,6574495,6183901,95348,390593,12340108,1150,8944196,14017561,14017561,186442000,176007319
OP Domain Natore,Pabna Zone,Pabna Region,Pabna-1,145,110,118,175,181,10433064,9996518,175038,436546,12559741,1028,8541954,14935681,14935681,292694000,276553641
OP Domain Natore,Chatmohor Zone,Bera Region,Kashinathpur-1,146,56,62,124,137,7317252,6913588,17828,403664,10511621,838,6920190,12268021,12268021,202343000,188099647
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,Daulatpur-1,147,67,63,111,106,6043057,5853510,44703,189547,4523843,672,2822879,5475685,5475685,162312000,156520198
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Kaliakair,148,87,75,140,136,8936246,8568204,101885,368042,7593036,712,5002147,9508633,9508633,239194000,222861694
OP Domain Mymensingh,Netrokona Zone,Mymensingh Region,Mymensingh,149,46,56,105,113,7171994,6891513,81957,280481,5978668,721,3733067,7347561,7347561,186999000,172045788
OP Domain Natore,Pabna Zone,Bongram Region,Dulai,150,87,77,120,113,7075468,6686288,127298,389180,16629010,1097,13737519,18433327,18433327,195560000,186611955
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Baliadanga,151,151,108,218,195,8834231,8673408,67451,160823,3872504,416,2565452,4538434,4538434,250866000,231983600
OP Domain Natore,Pabna Zone,Bongram Region,MASUMDIA,152,89,73,170,158,9859287,9537149,62779,322138,6219297,618,4104819,7878928,7878928,262001000,241717666
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-2,153,102,107,184,179,10734243,10202348,81973,531894,16050229,1789,11544726,18100161,18100161,301076000,291911932
